,Empresa,Unnamed: 0,Apertura,Precio_alto,Precio_bajo,Cierre,Dia
0,Harmony Gold,0,3.244245456947227,3.274100448105058,3.144728819754457,3.254197120666504,2022-07-29 00:00:00-04:00
1,Harmony Gold,1,3.244245456947227,3.284052111824335,3.184535474631565,3.254197120666504,2022-08-01 00:00:00-04:00
2,Harmony Gold,2,3.2541970987294007,3.4034722907786445,3.204438780468445,3.224342107772827,2022-08-02 00:00:00-04:00
3,Harmony Gold,3,3.1944870497513964,3.2044387131946626,3.104921841495625,3.134777069091797,2022-08-03 00:00:00-04:00
4,Harmony Gold,4,3.104921996736748,3.28405218493814,3.08501866885508,3.2442455291748047,2022-08-04 00:00:00-04:00
5,Harmony Gold,5,3.184535509713875,3.413424015045166,3.174583845884966,3.413424015045166,2022-08-05 00:00:00-04:00
6,Harmony Gold,6,3.473133847810216,3.582602145193859,3.473133847810216,3.532843828201294,2022-08-08 00:00:00-04:00
7,Harmony Gold,7,3.542795518719782,3.5826021726185524,3.403472230074086,3.463182210922241,2022-08-09 00:00:00-04:00
8,Harmony Gold,8,3.5826021219798547,3.5925537853138843,3.4532304986374687,3.502988815307617,2022-08-10 00:00:00-04:00
9,Harmony Gold,9,3.512940579104506,3.5626988971976394,3.403472279299612,3.423375606536865,2022-08-11 00:00:00-04:00
10,Harmony Gold,10,3.4631823048351054,3.532843951047004,3.4233756498568777,3.4830856323242188,2022-08-12 00:00:00-04:00
11,Harmony Gold,11,3.4233757210745948,3.4830857047841044,3.403472393171425,3.4731340408325195,2022-08-15 00:00:00-04:00
12,Harmony Gold,12,3.4134239647019973,3.453230619430542,3.3736173099734525,3.453230619430542,2022-08-16 00:00:00-04:00
13,Harmony Gold,13,3.403472336248279,3.4134240000334217,3.244245478419608,3.2840521335601807,2022-08-17 00:00:00-04:00
14,Harmony Gold,14,3.303955410679193,3.333810401578738,3.264148756146467,3.3238587379455566,2022-08-18 00:00:00-04:00
15,Harmony Gold,15,3.2541971500514246,3.2541971500514246,3.164632175769173,3.184535503387451,2022-08-19 00:00:00-04:00
16,Harmony Gold,16,3.15468053302754,3.224342180156726,3.134777205276344,3.214390516281128,2022-08-22 00:00:00-04:00
17,Harmony Gold,17,3.214390372404208,3.333810333566117,3.2044387089740494,3.2342936992645264,2022-08-23 00:00:00-04:00
18,Harmony Gold,18,3.1845354041656333,3.274100375657274,3.15468041366842,3.264148712158203,2022-08-24 00:00:00-04:00
19,Harmony Gold,19,3.284052206073361,3.294003870078241,3.2243422220440823,3.274100542068481,2022-08-25 00:00:00-04:00
20,Harmony Gold,20,3.27410053061286,3.333810514433222,3.1049220058554488,3.144728899002075,2022-08-26 00:00:00-04:00
21,Harmony Gold,21,3.0850185911498205,3.14472881055723,3.025308609008789,3.025308609008789,2022-08-29 00:00:00-04:00
22,Harmony Gold,22,2.975550208127514,2.985501871541999,2.6770000684265884,2.706855058670044,2022-08-30 00:00:00-04:00
23,Harmony Gold,23,2.617290163255125,2.686951809161113,2.487918297877627,2.597386598587036,2022-08-31 00:00:00-04:00
24,Harmony Gold,24,2.5078216395750026,2.537676630847755,2.398353338241577,2.398353338241577,2022-09-01 00:00:00-04:00
25,Harmony Gold,25,2.428208392820397,2.547628361024817,2.3884017367522574,2.4879183769226074,2022-09-02 00:00:00-04:00
26,Harmony Gold,26,2.448111610557428,2.4978699284007955,2.3187397468982978,2.3386430740356445,2022-09-06 00:00:00-04:00
27,Harmony Gold,27,2.318739861072649,2.418256738925953,2.288884868896574,2.388401746749878,2022-09-07 00:00:00-04:00
28,Harmony Gold,28,2.2590296751436933,2.2789330014850715,2.1495613802661144,2.219223022460937,2022-09-08 00:00:00-04:00
29,Harmony Gold,29,2.2590297191961968,2.388401580204352,2.2490780558314443,2.3784499168396,2022-09-09 00:00:00-04:00
30,Harmony Gold,30,2.318739675737555,2.408304882373289,2.288884685947767,2.348594665527344,2022-09-12 00:00:00-04:00
31,Harmony Gold,31,2.209271408249236,2.2689813885965844,2.179416418075561,2.179416418075561,2022-09-13 00:00:00-04:00
32,Harmony Gold,32,2.179416418075561,2.2291747350316853,2.149561427901887,2.179416418075561,2022-09-14 00:00:00-04:00
33,Harmony Gold,33,2.129658273446891,2.1595132660363685,2.059996386805054,2.0898513793945312,2022-09-15 00:00:00-04:00
34,Harmony Gold,34,2.010238037017388,2.159513235092163,1.990334708909603,2.159513235092163,2022-09-16 00:00:00-04:00
35,Harmony Gold,35,2.0898513494485287,2.1794165631999483,2.0699480213407435,2.159513235092163,2022-09-19 00:00:00-04:00
36,Harmony Gold,36,2.089851235356732,2.1097545623779297,2.0699479083355348,2.1097545623779297,2022-09-20 00:00:00-04:00
37,Harmony Gold,37,2.1097544918439506,2.219223024067124,2.069947839132384,2.119706392288208,2022-09-21 00:00:00-04:00
38,Harmony Gold,38,2.0898511654881675,2.149561381821883,2.079899502310276,2.119706392288208,2022-09-22 00:00:00-04:00
39,Harmony Gold,39,1.9405763117154748,2.020189620990734,1.9306246480560676,1.990334630012512,2022-09-23 00:00:00-04:00
40,Harmony Gold,40,1.9704313490331664,2.0898513157545056,1.960479685139721,2.000286340713501,2022-09-26 00:00:00-04:00
